Season,Tree,Part,Health,Total_NSC,Starch,Sucrose,Gluc_Fruc,Soluble_Sugars
Fall,364,L,D,6.19,1.34,0.99,3.86,4.85
Fall,364,R,D,8.87,2.31,1.08,5.47,6.55
Fall,364,R,D,,,,,
Fall,364,L,D,4,1.05,0.48,2.46,2.94
Fall,364,R,D,7.86,1.93,0.9,5.03,5.93
Fall,364,R,D,8.77,0.3,1.37,7.11,8.48
Fall,542,L,D,4.39,0.52,0.84,3.02,3.87
Fall,542,R,D,2.49,0.26,0.5,1.73,2.23
Fall,542,L,D,4.47,0.93,0.49,3.05,3.54
Fall,542,R,D,8.66,1.16,1.37,6.13,7.5
Fall,544,L,D,4.45,0.42,0.72,3.32,4.04
Fall,544,R,D,4.48,0.49,0.61,3.38,3.99
Fall,544,L,D,3.82,0.9,0.37,2.55,2.92
Fall,544,R,D,6.67,0.93,1.1,4.64,5.75
Fall,544,R,D,3.28,0.4,0.35,2.53,2.88
Fall,561,L,ND,,,,,
Fall,561,R,ND,,,,,
Fall,561,R,ND,,,,,
Fall,561,L,ND,,,,,
Fall,561,R,ND,,,,,
Fall,561,R,ND,,,,,
Fall,562,L,ND,3.51,-0.12,0.61,3.03,3.63
Fall,562,R,ND,6.58,0.35,0.81,5.42,6.23
Fall,562,R,ND,5.37,0.58,0.93,3.86,4.79
Fall,562,L,ND,6.46,3.14,0.48,2.84,3.32
Fall,562,R,ND,6.14,1.19,0.77,4.18,4.95
Fall,562,R,ND,4.21,0.56,0.44,3.21,3.65
Fall,572,L,ND,3.6,0.09,0.61,2.91,3.52
Fall,572,R,ND,5.49,0.86,0.78,3.85,4.63
Fall,572,R,ND,7.79,0.03,1.28,6.48,7.76
Fall,572,L,ND,1.87,0.17,0.27,1.43,1.7
Fall,572,R,ND,7.25,0,1.39,5.86,7.25
Fall,693,L,D,,,,,
Fall,693,R,D,5.71,0.49,1.17,4.05,5.22
Fall,693,R,D,5.98,0.48,1.17,4.33,5.5
