Treatment;Exp;Species;FuncGrp;Time;Time;RespVar1;RespVar2;VarIndep1;VarIndep2;VarIndep3
Treat1;N1;Sp4;FG2;15:50:00;145;2.96;0.10;0.57;0.9;-0.9
Treat1;N1;Sp4;FG2;20:47:00;442;3.31;0.09;0.54;0.82;-0.82
Treat1;N1;Sp4;FG2;16:00:00;1616;3.95;0.10;0.52;1.5;-1.5
Treat1;N1;Sp4;FG2;19:34:00;1830;2.48;0.10;0.56;1.45;-1.45
Treat1;N1;Sp4;FG2;19:58;1854;2.01;0.10;0.61;1.44;-1.44
Treat1;N1;Sp4;FG2;20:39;1895;1.52;0.09;0.61;1.62;-1.62
Treat1;N1;Sp4;FG2;21:21;1937;1.17;0.08;0.58;1.73;-1.73
Treat1;N1;Sp4;FG2;21:50;1966;1.01;0.07;0.61;1.7;-1.7
Treat1;N1;Sp4;FG2;22:07;1983;0.92;0.07;0.61;2.05;-2.05
Treat1;N3;Sp4;FG2;12:15:00;0;1.24;0.05;0.75;0.66;-0.66
Treat1;N3;Sp4;FG2;13:00:00;45;1.09;0.06;0.76;0.88;-0.88
Treat1;N3;Sp4;FG2;14:07:00;112;0.87;0.06;0.76;1.13;-1.13
Treat1;N3;Sp4;FG2;14:53:00;158;0.61;0.08;0.80;1.37;-1.37
Treat1;N3;Sp4;FG2;15:33:00;198;0.52;0.06;0.75;1.81;-1.81
Treat1;N3;Sp4;FG2;16:00:00;225;0.43;0.05;0.83;1.85;-1.85
Treat1;N3;Sp4;FG2;16:20;245;0.35;0.04;0.86;2.01;-2.01
Treat1;N3;Sp4;FG2;16:55;280;0.29;0.04;0.83;2;-2
Treat1;N1;Sp1;FG1;12:15:00;0;0.79;0.02;0.86;;0
Treat1;N1;Sp1;FG1;12:30:00;15;1.26;0.03;0.84;2;-2
Treat1;N1;Sp1;FG1;13:50:00;95;0.54;0.01;0.94;2;-2
Treat1;N1;Sp1;FG1;13:58:00;103;0.43;0.01;0.86;2;-2
Treat1;N1;Sp1;FG1;14:15:00;120;0.35;0.01;0.96;2.2;-2.2
Treat1;N1;Sp1;FG1;14:36:00;141;0.30;0.01;1.04;2.7;-2.7
Treat1;N1;Sp1;FG1;15:00;165;0.26;0.00;1.04;2.8;-2.8
Treat1;N2;Sp1;FG1;12:20:00;0;0.60;0.02;0.87;;0
Treat1;N2;Sp1;FG1;12:58:00;38;0.72;0.02;;0.82;-0.82
Treat1;N2;Sp1;FG1;13:31:00;71;0.90;0.03;0.90;1.1;-1.1
Treat1;N2;Sp1;FG1;14:02:00;102;0.98;0.03;0.90;1;-1
Treat1;N2;Sp1;FG1;14:40:00;140;0.77;0.02;0.92;1.9;-1.9
Treat1;N2;Sp1;FG1;14:52:00;152;0.39;0.01;0.98;1.9;-1.9
Treat1;N2;Sp1;FG1;15:03;163;0.34;0.01;0.96;2.05;-2.05
Treat1;N2;Sp1;FG1;15:15;175;0.30;0.01;0.99;2.1;-2.1
Treat1;N2;Sp1;FG1;15:35;195;0.28;0.00;1.13;2.1;-2.1
Treat1;N2;Sp1;FG1;15:50;210;0.26;0.00;0.92;2.15;-2.15
